OpenCTD,,,,,,Commercial CTD,,,
Raw Data,,,,Processed Data,,Raw Data,,Processed Data,
Temp 1,Temp 2,Temp 3,Pressure,Depth (m),Temp C,Depth (m),Temp C,Depth (m),Temp C
6.63,6.75,6.69,3853.7,28.85,5.79,26.03,5.825,26.03,5.83
6.63,6.75,6.69,3853.4,28.85,5.79,26.007,5.8248,26.01,5.82
6.63,6.75,6.69,3851.5,28.83,5.79,26.001,5.825,26,5.83
6.63,6.75,6.69,3850.5,28.82,5.79,25.987,5.8244,25.99,5.82
6.63,6.75,6.69,3852.6,28.84,5.79,25.99,5.8247,25.99,5.82
6.63,6.75,6.75,3852.2,28.84,5.81,25.978,5.8248,25.98,5.82
6.63,6.75,6.69,3851.1,28.83,5.79,25.99,5.8248,25.99,5.82
6.63,6.75,6.69,3851.1,28.83,5.79,25.978,5.8247,25.98,5.82
6.63,6.75,6.69,3851.4,28.83,5.79,25.99,5.8249,25.99,5.82
6.63,6.75,6.69,3852.3,28.84,5.79,26.001,5.8248,26,5.82
6.63,6.75,6.75,3853.3,28.85,5.81,25.997,5.8248,26,5.82
6.63,6.75,6.69,3852.2,28.84,5.79,26.02,5.8247,26.02,5.82
6.63,6.75,6.69,3851.2,28.83,5.79,26.018,5.825,26.02,5.83
6.63,6.75,6.69,3852,28.84,5.79,26.011,5.8249,26.01,5.82
6.63,6.75,6.69,3853.4,28.85,5.79,26.007,5.8248,26.01,5.82
6.63,6.75,6.69,3853.3,28.85,5.79,25.99,5.8249,25.99,5.82
6.63,6.75,6.69,3853.3,28.85,5.79,25.987,5.825,25.99,5.83
6.63,6.75,6.69,3851.9,28.83,5.79,25.981,5.8252,25.98,5.83
6.63,6.75,6.69,3851.9,28.83,5.79,25.978,5.8252,25.98,5.83
6.63,6.75,6.69,3852.2,28.84,5.79,25.981,5.8256,25.98,5.83
6.63,6.75,6.69,3854.6,28.86,5.79,25.987,5.8252,25.99,5.83
6.63,6.75,6.69,3853.4,28.85,5.79,25.99,5.8253,25.99,5.83
6.63,6.75,6.69,3852,28.84,5.79,26.007,5.8253,26.01,5.83
6.63,6.75,6.69,3854,28.86,5.79,26.001,5.8257,26,5.83
6.63,6.75,6.69,3854.1,28.86,5.79,25.997,5.8258,26,5.83
6.63,6.75,6.69,3851.8,28.83,5.79,26.001,5.8257,26,5.83
6.63,6.75,6.69,3851.7,28.83,5.79,25.99,5.8255,25.99,5.83
6.63,6.69,6.69,3851.8,28.83,5.77,25.978,5.8258,25.98,5.83
6.63,6.75,6.69,3850,28.82,5.79,25.99,5.8256,25.99,5.83
6.63,6.75,6.69,3851.8,28.83,5.79,25.987,5.8255,25.99,5.83
6.63,6.75,6.69,3854,28.86,5.79,25.99,5.8257,25.99,5.83
6.63,6.75,6.69,3850.8,28.82,5.79,25.987,5.8258,25.99,5.83
6.63,6.75,6.69,3851.2,28.83,5.79,25.981,5.826,25.98,5.83
6.63,6.75,6.75,3851.1,28.83,5.81,25.978,5.8259,25.98,5.83
6.63,6.75,6.75,3853.1,28.85,5.81,25.99,5.826,25.99,5.83
6.63,6.75,6.75,3853,28.85,5.81,25.997,5.8259,26,5.83
6.63,6.75,6.75,3852.6,28.84,5.81,25.99,5.8264,25.99,5.83
6.63,6.75,6.75,3851.7,28.83,5.81,25.997,5.8268,26,5.83
6.63,6.75,6.75,3853.1,28.85,5.81,26.001,5.8269,26,5.83
6.63,6.75,6.75,3855.5,28.87,5.81,25.987,5.8268,25.99,5.83
6.63,6.75,6.69,3851.8,28.83,5.79,25.99,5.827,25.99,5.83
6.63,6.75,6.69,3850.7,28.82,5.79,25.987,5.8271,25.99,5.83
6.63,6.75,6.69,3853,28.85,5.79,25.981,5.8271,25.98,5.83
6.63,6.75,6.75,3854.1,28.86,5.81,25.981,5.8272,25.98,5.83
6.63,6.75,6.69,3852.6,28.84,5.79,25.987,5.8271,25.99,5.83
6.63,6.69,6.69,3853.4,28.85,5.77,25.99,5.827,25.99,5.83
6.63,6.75,6.69,3853.7,28.85,5.79,25.987,5.827,25.99,5.83
6.63,6.75,6.69,3851.4,28.83,5.79,26.001,5.827,26,5.83
6.63,6.75,6.75,3851.9,28.83,5.81,25.997,5.8269,26,5.83
6.63,6.75,6.69,3850.9,28.82,5.79,25.99,5.8268,25.99,5.83
6.63,6.75,6.69,3852.1,28.84,5.79,25.987,5.8265,25.99,5.83
6.63,6.75,6.69,3853.2,28.85,5.79,25.99,5.827,25.99,5.83
6.63,6.75,6.69,3853.2,28.85,5.79,25.978,5.8266,25.98,5.83
6.63,6.75,6.69,3853.3,28.85,5.79,25.99,5.8269,25.99,5.83
6.63,6.69,6.69,3851.8,28.83,5.77,25.987,5.827,25.99,5.83
6.63,6.75,6.69,3850.7,28.82,5.79,25.99,5.8267,25.99,5.83
6.63,6.75,6.69,3852.8,28.84,5.79,25.987,5.8264,25.99,5.83
6.63,6.75,6.69,3852.9,28.85,5.79,25.99,5.8261,25.99,5.83
6.63,6.69,6.69,3852.9,28.85,5.77,25.987,5.8259,25.99,5.83
6.63,6.75,6.69,3852.9,28.85,5.79,25.99,5.8258,25.99,5.83
6.63,6.75,6.69,3852.9,28.85,5.79,25.997,5.8252,26,5.83
6.63,6.75,6.69,3854.4,28.86,5.79,25.981,5.8253,25.98,5.83
6.63,6.69,6.69,3851.7,28.83,5.77,26.001,5.8252,26,5.83
6.63,6.75,6.75,3851.9,28.83,5.81,25.987,5.8252,25.99,5.83
6.63,6.75,6.69,3852.1,28.84,5.79,25.981,5.8253,25.98,5.83
6.63,6.75,6.75,3853.2,28.85,5.81,25.987,5.8252,25.99,5.83
6.63,6.75,6.69,3854.1,28.86,5.79,25.99,5.825,25.99,5.83
6.63,6.75,6.69,3852.1,28.84,5.79,25.987,5.8248,25.99,5.82
6.69,6.69,6.69,3852.1,28.84,5.79,25.981,5.8251,25.98,5.83
6.69,6.75,6.69,3851.9,28.83,5.81,25.997,5.8252,26,5.83
6.63,6.75,6.69,3853.3,28.85,5.79,25.99,5.8251,25.99,5.83
6.63,6.75,6.75,3851,28.83,5.81,25.987,5.825,25.99,5.83
6.69,6.69,6.75,3853,28.85,5.81,26.001,5.825,26,5.83
6.69,6.75,6.69,3854.1,28.86,5.81,25.987,5.8249,25.99,5.82
6.69,6.75,6.69,3854,28.86,5.81,25.99,5.825,25.99,5.83
6.69,6.69,6.69,3852.6,28.84,5.79,25.978,5.8251,25.98,5.83
6.69,6.75,6.69,3852.6,28.84,5.81,25.99,5.825,25.99,5.83
6.69,6.69,6.69,3852.8,28.84,5.79,25.987,5.8248,25.99,5.82
