OpenCTD,,,,,,Commercial CTD,,,
Raw Data,,,,Processed Data,,Raw Data,,Processed Data,
Temp 1,Temp 2,Temp 3,Pressure,Depth (m),Temp C,Depth (m),Temp C,Depth (m),Temp C
6.5,6.75,6.5,3850.4,28.82,5.68,27.191,5.8207,27.19,5.82
6.5,6.81,6.5,3850.5,28.82,5.7,27.181,5.8208,27.18,5.82
6.5,6.81,6.5,3851.5,28.83,5.7,27.158,5.821,27.16,5.82
6.5,6.81,6.5,3848,28.8,5.7,27.151,5.8211,27.15,5.82
6.5,6.81,6.5,3851.2,28.83,5.7,27.141,5.8212,27.14,5.82
6.5,6.81,6.5,3853.2,28.85,5.7,27.138,5.8211,27.14,5.82
6.5,6.81,6.5,3851.2,28.83,5.7,27.111,5.821,27.11,5.82
6.5,6.81,6.5,3851.2,28.83,5.7,27.1,5.8215,27.1,5.82
6.5,6.81,6.5,3852.3,28.84,5.7,27.087,5.8218,27.09,5.82
6.5,6.81,6.5,3851.2,28.83,5.7,27.08,5.8218,27.08,5.82
6.5,6.81,6.5,3850.1,28.82,5.7,27.047,5.8218,27.05,5.82
6.5,6.81,6.56,3851.3,28.83,5.72,27.069,5.8224,27.07,5.82
6.5,6.81,6.5,3852.2,28.84,5.7,27.039,5.8225,27.04,5.82
6.5,6.81,6.56,3850.8,28.82,5.72,27.036,5.8229,27.04,5.82
6.5,6.81,6.56,3850.7,28.82,5.72,27.009,5.823,27.01,5.82
6.5,6.81,6.56,3850.8,28.82,5.72,26.999,5.8234,27,5.82
6.5,6.81,6.56,3850.4,28.82,5.72,26.987,5.8234,26.99,5.82
6.5,6.81,6.56,3852.9,28.85,5.72,26.978,5.8233,26.98,5.82
6.5,6.81,6.56,3849.4,28.81,5.72,26.969,5.8234,26.97,5.82
6.5,6.81,6.56,3850.8,28.82,5.72,26.947,5.8233,26.95,5.82
6.5,6.81,6.56,3851.9,28.83,5.72,26.938,5.8234,26.94,5.82
6.56,6.81,6.56,3852.9,28.85,5.74,26.929,5.8234,26.93,5.82
6.56,6.81,6.56,3851.5,28.83,5.74,26.905,5.8237,26.91,5.82
6.5,6.81,6.56,3850,28.82,5.72,26.908,5.8239,26.91,5.82
6.5,6.81,6.56,3849,28.81,5.72,26.889,5.8236,26.89,5.82
6.5,6.81,6.56,3850.8,28.82,5.72,26.875,5.8241,26.88,5.82
6.56,6.81,6.56,3851.1,28.83,5.74,26.868,5.8241,26.87,5.82
6.56,6.81,6.56,3851,28.83,5.74,26.845,5.8241,26.85,5.82
6.56,6.81,6.56,3851,28.83,5.74,26.838,5.8242,26.84,5.82
6.56,6.81,6.56,3851.1,28.83,5.74,26.828,5.8241,26.83,5.82
6.5,6.81,6.56,3851.2,28.83,5.72,26.814,5.8245,26.81,5.82
6.56,6.81,6.56,3851.1,28.83,5.74,26.807,5.8244,26.81,5.82
6.56,6.81,6.56,3851.2,28.83,5.74,26.787,5.8245,26.79,5.82
6.56,6.81,6.56,3852.3,28.84,5.74,26.784,5.8245,26.78,5.82
6.5,6.81,6.56,3851.4,28.83,5.72,26.767,5.8244,26.77,5.82
6.56,6.81,6.56,3851.6,28.83,5.74,26.754,5.8243,26.75,5.82
6.56,6.81,6.56,3850.3,28.82,5.74,26.747,5.8241,26.75,5.82
6.56,6.81,6.56,3850.1,28.82,5.74,26.726,5.8243,26.73,5.82
6.56,6.81,6.56,3852.3,28.84,5.74,26.723,5.8242,26.72,5.82
6.56,6.81,6.56,3853.3,28.85,5.74,26.707,5.8241,26.71,5.82
6.56,6.81,6.56,3851.7,28.83,5.74,26.704,5.8241,26.7,5.82
6.5,6.81,6.56,3852.9,28.85,5.72,26.686,5.824,26.69,5.82
6.5,6.81,6.56,3849.6,28.81,5.72,26.677,5.8241,26.68,5.82
6.56,6.81,6.63,3851.3,28.83,5.77,26.663,5.8241,26.66,5.82
6.5,6.81,6.56,3852,28.84,5.72,26.656,5.8244,26.66,5.82
6.56,6.81,6.56,3852.8,28.84,5.74,26.646,5.8252,26.65,5.83
6.56,6.81,6.63,3852.8,28.84,5.77,26.634,5.8254,26.63,5.83
6.56,6.81,6.56,3850.7,28.82,5.74,26.616,5.8256,26.62,5.83
6.5,6.75,6.56,3852.9,28.85,5.7,26.613,5.8255,26.61,5.83
6.5,6.81,6.56,3851.8,28.83,5.72,26.606,5.8254,26.61,5.83
6.56,6.75,6.56,3851.7,28.83,5.72,26.586,5.8253,26.59,5.83
6.5,6.81,6.63,3851.8,28.83,5.75,26.583,5.8252,26.58,5.83
6.56,6.81,6.56,3850.7,28.82,5.74,26.565,5.8252,26.57,5.83
6.56,6.75,6.56,3850.6,28.82,5.72,26.552,5.8252,26.55,5.83
6.56,6.81,6.63,3851.6,28.83,5.77,26.546,5.825,26.55,5.83
6.56,6.81,6.63,3851.3,28.83,5.77,26.532,5.825,26.53,5.83
6.56,6.75,6.56,3849.9,28.81,5.72,26.535,5.8249,26.54,5.82
6.56,6.75,6.56,3852.3,28.84,5.72,26.504,5.825,26.5,5.83
6.56,6.75,6.63,3852.4,28.84,5.75,26.512,5.8248,26.51,5.82
6.56,6.75,6.56,3851.2,28.83,5.72,26.485,5.825,26.49,5.83
6.56,6.81,6.56,3850.2,28.82,5.74,26.492,5.825,26.49,5.83
6.56,6.81,6.63,3851.7,28.83,5.77,26.464,5.8251,26.46,5.83
6.56,6.81,6.63,3852.7,28.84,5.77,26.464,5.825,26.46,5.83
6.56,6.75,6.63,3850.5,28.82,5.75,26.452,5.8252,26.45,5.83
6.56,6.75,6.63,3850.3,28.82,5.75,26.445,5.825,26.45,5.83
6.56,6.81,6.63,3852.4,28.84,5.77,26.431,5.8252,26.43,5.83
6.56,6.81,6.63,3851.8,28.83,5.77,26.415,5.8252,26.42,5.83
6.56,6.81,6.63,3851.4,28.83,5.77,26.404,5.8252,26.4,5.83
6.56,6.75,6.63,3851.2,28.83,5.75,26.401,5.8252,26.4,5.83
6.56,6.75,6.63,3852.4,28.84,5.75,26.384,5.8252,26.38,5.83
6.56,6.81,6.63,3851.4,28.83,5.77,26.38,5.8252,26.38,5.83
6.56,6.81,6.69,3849.9,28.81,5.79,26.364,5.8252,26.36,5.83
6.56,6.81,6.63,3853.5,28.85,5.77,26.361,5.8252,26.36,5.83
6.56,6.75,6.63,3853.6,28.85,5.75,26.343,5.8252,26.34,5.83
6.56,6.75,6.63,3854,28.86,5.75,26.333,5.8252,26.33,5.83
6.56,6.75,6.63,3851.6,28.83,5.75,26.331,5.8255,26.33,5.83
6.56,6.75,6.63,3851.7,28.83,5.75,26.313,5.8251,26.31,5.83
6.56,6.75,6.63,3851.7,28.83,5.75,26.31,5.825,26.31,5.83
6.63,6.75,6.63,3851.6,28.83,5.77,26.293,5.8251,26.29,5.83
6.56,6.75,6.63,3850.2,28.82,5.75,26.28,5.825,26.28,5.83
6.56,6.75,6.63,3850.6,28.82,5.75,26.273,5.825,26.27,5.83
6.56,6.75,6.63,3850.8,28.82,5.75,26.26,5.8251,26.26,5.83
6.63,6.81,6.63,3853.5,28.85,5.79,26.252,5.8252,26.25,5.83
6.63,6.75,6.69,3852.7,28.84,5.79,26.242,5.8251,26.24,5.83
6.56,6.75,6.69,3851.6,28.83,5.77,26.219,5.8252,26.22,5.83
6.56,6.75,6.69,3851.5,28.83,5.77,26.223,5.825,26.22,5.83
6.56,6.75,6.63,3851.5,28.83,5.75,26.2,5.8249,26.2,5.82
6.56,6.75,6.63,3851.5,28.83,5.75,26.193,5.825,26.19,5.83
6.56,6.75,6.63,3853.6,28.85,5.75,26.179,5.8251,26.18,5.83
6.56,6.75,6.63,3851.3,28.83,5.75,26.172,5.8252,26.17,5.83
6.56,6.75,6.69,3850.6,28.82,5.77,26.158,5.8252,26.16,5.83
6.56,6.81,6.69,3851.9,28.83,5.79,26.142,5.8249,26.14,5.82
