OpenCTD,,,,,,,,Commercial CTD,,,,
Raw Data,,,,,Processed Data,,,Raw Data,,,Processed Data,
Temp 1,Temp 2,Temp 3,Pressure,,Depth (m),Temp C,,Depth (m),Temp C,,Depth (m),Temp Temp C
11.44,11.56,11.44,2435.1,,14.39,10.58,,1.316,11.704,,1.32,11.7
11.38,11.5,11.44,2462.7,,14.67,10.54,,1.325,11.7038,,1.33,11.7
11.38,11.5,11.44,2489,,14.94,10.54,,1.335,11.7032,,1.34,11.7
11.38,11.5,11.44,2512.1,,15.18,10.54,,1.346,11.703,,1.35,11.7
11.38,11.5,11.38,2536.2,,15.42,10.52,,1.346,11.7033,,1.35,11.7
11.31,11.5,11.38,2559.3,,15.66,10.5,,1.364,11.7039,,1.36,11.7
11.31,11.44,11.38,2570.3,,15.77,10.48,,1.376,11.7039,,1.38,11.7
11.31,11.44,11.31,2576.7,,15.84,10.45,,1.384,11.7044,,1.38,11.7
11.19,11.38,11.25,2604.1,,16.12,10.37,,1.376,11.7048,,1.38,11.7
11.19,11.38,11.25,2624.9,,16.33,10.37,,1.395,11.7051,,1.4,11.71
11.19,11.31,11.19,2641.3,,16.49,10.33,,1.394,11.7052,,1.39,11.71
11.13,11.25,11.13,2662.1,,16.71,10.27,,1.406,11.7056,,1.41,11.71
11,11.19,11.06,2682.9,,16.92,10.18,,1.424,11.7061,,1.42,11.71
11,11.13,11,2702.5,,17.12,10.14,,1.425,11.7061,,1.43,11.71
10.88,11.06,10.94,2715.4,,17.25,10.06,,1.456,11.7061,,1.46,11.71
10.88,11,10.88,2737.4,,17.47,10.02,,1.454,11.7066,,1.45,11.71
10.81,11,10.88,2755.9,,17.66,10,,1.476,11.7064,,1.48,11.71
10.81,11,10.81,2773.4,,17.84,9.97,,1.476,11.7065,,1.48,11.71
10.75,10.94,10.81,2790.8,,18.02,9.93,,1.485,11.7067,,1.49,11.71
10.75,10.88,10.75,2808.3,,18.2,9.89,,1.496,11.708,,1.5,11.71
10.69,10.88,10.69,2825.8,,18.38,9.85,,1.494,11.7075,,1.49,11.71
10.63,10.81,10.63,2840.9,,18.53,9.79,,1.507,11.7074,,1.51,11.71
10.63,10.75,10.63,2857.3,,18.7,9.77,,1.516,11.7073,,1.52,11.71
10.56,10.75,10.56,2872.5,,18.85,9.72,,1.524,11.7079,,1.52,11.71
10.5,10.75,10.56,2890,,19.03,9.7,,1.535,11.7077,,1.54,11.71
10.5,10.69,10.5,2904.2,,19.17,9.66,,1.546,11.7079,,1.55,11.71
10.44,10.63,10.44,2919.3,,19.33,9.6,,1.555,11.7082,,1.56,11.71
10.38,10.56,10.38,2935.6,,19.49,9.54,,1.577,11.7087,,1.58,11.71
10.38,10.44,10.25,2950.8,,19.65,9.46,,1.586,11.7091,,1.59,11.71
10.19,10.25,10.13,2963.6,,19.78,9.29,,1.596,11.7091,,1.6,11.71
10,10.06,9.88,2975.2,,19.9,9.08,,1.596,11.7096,,1.6,11.71
9.81,9.88,9.69,2994.7,,20.1,8.89,,1.606,11.7097,,1.61,11.71
9.63,9.69,9.5,3005.2,,20.2,8.71,,1.617,11.7099,,1.62,11.71
9.5,9.56,9.38,3019,,20.34,8.58,,1.636,11.7106,,1.64,11.71
9.31,9.38,9.19,3031.8,,20.48,8.39,,1.645,11.711,,1.65,11.71
9.19,9.19,9.06,3056.6,,20.73,8.25,,1.656,11.7109,,1.66,11.71
9,9.06,8.88,3081.4,,20.98,8.08,,1.666,11.7111,,1.67,11.71
8.81,8.88,8.75,3106.2,,21.23,7.91,,1.666,11.7108,,1.67,11.71
8.38,8.5,8.38,3153.5,,21.72,7.52,,1.677,11.7122,,1.68,11.71
8.25,8.38,8.25,3175.9,,21.94,7.39,,1.687,11.7144,,1.69,11.71
8.13,8.25,8.06,3198.8,,22.18,7.25,,1.715,11.7169,,1.72,11.72
8,8.13,8,3222.4,,22.42,7.14,,1.717,11.7186,,1.72,11.72
7.94,8.06,7.94,3245.2,,22.65,7.08,,1.737,11.7192,,1.74,11.72
7.81,8,7.81,3265.8,,22.86,6.97,,1.736,11.7189,,1.74,11.72
7.75,7.94,7.75,3284.9,,23.06,6.91,,1.757,11.7186,,1.76,11.72
7.63,7.75,7.63,3305.4,,23.26,6.77,,1.757,11.7187,,1.76,11.72
7.44,7.63,7.5,3326.6,,23.48,6.62,,1.776,11.7196,,1.78,11.72
7.31,7.44,7.31,3350,,23.72,6.45,,1.777,11.7206,,1.78,11.72
7.19,7.31,7.13,3369,,23.91,6.31,,1.787,11.7209,,1.79,11.72
7.06,7.25,7,3389.5,,24.12,6.2,,1.797,11.7213,,1.8,11.72
6.94,7.13,6.94,3410.9,,24.34,6.1,,1.808,11.7221,,1.81,11.72
6.88,7.13,6.88,3427.9,,24.51,6.06,,1.808,11.7224,,1.81,11.72
6.81,7.06,6.81,3444.9,,24.69,5.99,,1.827,11.7228,,1.83,11.72
6.75,7,6.69,3484.4,,25.09,5.91,,1.847,11.7231,,1.85,11.72
6.69,7,6.69,3502.9,,25.28,5.89,,1.857,11.7239,,1.86,11.72
6.69,6.94,6.69,3519,,25.44,5.87,,1.867,11.7244,,1.87,11.72
6.69,6.94,6.69,3537.2,,25.63,5.87,,1.867,11.7242,,1.87,11.72
