OpenCTD,,,,,,Commercial CTD,,,
Raw Data,,,,Processed Data,,Raw Data,,Processed Data,
Temp 1,Temp 2,Temp 3,Pressure,Depth (m),Temp C,Depth (m),Temp C,Depth (m),Temp C
4.69,4.63,4.69,7352.2,64.52,4.07,80.346,3.8565,80.35,3.86
4.69,4.63,4.63,7300.5,63.99,4.05,80.35,3.8567,80.35,3.86
4.69,4.63,4.69,7251.5,63.49,4.07,80.341,3.857,80.34,3.86
4.69,4.63,4.69,7201.8,62.98,4.07,80.35,3.8574,80.35,3.86
4.69,4.63,4.69,7149.3,62.45,4.07,80.35,3.8572,80.35,3.86
4.69,4.63,4.69,7098.1,61.93,4.07,80.35,3.857,80.35,3.86
4.69,4.63,4.69,7049.7,61.43,4.07,80.35,3.8572,80.35,3.86
4.69,4.63,4.69,6997.7,60.9,4.07,80.35,3.8572,80.35,3.86
4.69,4.63,4.69,6948.8,60.4,4.07,80.35,3.8574,80.35,3.86
4.69,4.63,4.69,6899.3,59.9,4.07,80.341,3.8574,80.34,3.86
4.69,4.63,4.69,6848.6,59.38,4.07,80.36,3.8565,80.36,3.86
4.69,4.63,4.69,6796.7,58.85,4.07,80.346,3.8569,80.35,3.86
4.69,4.63,4.69,6744.7,58.32,4.07,80.35,3.8564,80.35,3.86
4.69,4.63,4.75,6693.9,57.81,4.09,80.35,3.8564,80.35,3.86
4.75,4.69,4.75,6644.6,57.3,4.13,80.35,3.8564,80.35,3.86
4.75,4.63,4.75,6594.2,56.79,4.11,80.35,3.8564,80.35,3.86
4.75,4.63,4.75,6542.8,56.27,4.11,80.35,3.8551,80.35,3.86
4.75,4.63,4.75,6493,55.76,4.11,80.35,3.8541,80.35,3.85
4.75,4.63,4.75,6441.6,55.23,4.11,80.35,3.8538,80.35,3.85
4.75,4.69,4.75,6390.7,54.71,4.13,80.35,3.8537,80.35,3.85
4.75,4.69,4.75,6340.9,54.21,4.13,80.35,3.8531,80.35,3.85
4.75,4.69,4.75,6290.2,53.69,4.13,80.35,3.8524,80.35,3.85
4.81,4.69,4.75,6239.6,53.17,4.15,80.35,3.8515,80.35,3.85
4.81,4.69,4.81,6188.9,52.66,4.17,80.356,3.8511,80.36,3.85
4.81,4.69,4.81,6138.7,52.15,4.17,80.35,3.8517,80.35,3.85
4.81,4.69,4.81,6089.1,51.64,4.17,80.35,3.8521,80.35,3.85
4.81,4.69,4.81,6035,51.09,4.17,80.35,3.8521,80.35,3.85
4.81,4.69,4.81,5983.4,50.56,4.17,80.35,3.852,80.35,3.85
4.81,4.69,4.81,5933.2,50.05,4.17,80.35,3.8515,80.35,3.85
4.81,4.69,4.75,5891.2,49.62,4.15,80.35,3.8513,80.35,3.85
4.81,4.75,4.81,5865.4,49.36,4.19,80.35,3.8511,80.35,3.85
4.81,4.69,4.75,5839.4,49.09,4.15,80.35,3.8507,80.35,3.85
4.81,4.69,4.75,5810,48.8,4.15,80.35,3.8507,80.35,3.85
4.81,4.75,4.75,5781.8,48.51,4.17,80.35,3.851,80.35,3.85
4.81,4.75,4.81,5755.9,48.24,4.19,80.356,3.8516,80.36,3.85
4.81,4.75,4.81,5728.1,47.96,4.19,80.341,3.8515,80.34,3.85
4.81,4.75,4.81,5696.7,47.64,4.19,80.35,3.8508,80.35,3.85
4.81,4.75,4.81,5669,47.36,4.19,80.35,3.8508,80.35,3.85
4.81,4.75,4.81,5641.5,47.08,4.19,80.35,3.8505,80.35,3.85
4.81,4.75,4.81,5615.3,46.81,4.19,80.35,3.8504,80.35,3.85
4.81,4.75,4.81,5588.4,46.54,4.19,80.35,3.8507,80.35,3.85
4.81,4.81,4.88,5560.2,46.25,4.23,80.35,3.8507,80.35,3.85
4.81,4.81,4.88,5531.2,45.95,4.23,80.35,3.8503,80.35,3.85
4.81,4.81,4.94,5504.5,45.68,4.25,80.35,3.85,80.35,3.85
4.88,4.81,4.94,5476.6,45.4,4.28,80.35,3.8495,80.35,3.85
4.88,4.81,4.94,5447.3,45.1,4.28,80.35,3.8497,80.35,3.85
4.88,4.81,5,5418.1,44.8,4.3,80.346,3.8497,80.35,3.85
4.88,4.81,4.94,5388.4,44.5,4.28,80.35,3.8494,80.35,3.85
4.88,4.81,5,5363,44.24,4.3,80.35,3.8495,80.35,3.85
4.88,4.81,5,5334,43.94,4.3,80.35,3.8502,80.35,3.85
4.88,4.88,5,5305.8,43.66,4.32,80.35,3.8502,80.35,3.85
4.94,4.88,5,5277.8,43.37,4.34,80.35,3.8511,80.35,3.85
4.94,4.88,5.06,5249.9,43.09,4.36,80.35,3.8524,80.35,3.85
4.94,4.88,5.06,5223.2,42.81,4.36,80.35,3.8535,80.35,3.85
4.94,4.88,5.06,5194.1,42.52,4.36,80.36,3.8543,80.36,3.85
4.94,4.94,5.13,5166.3,42.23,4.4,80.35,3.8534,80.35,3.85
5,4.94,5.13,5137.2,41.94,4.42,80.35,3.8527,80.35,3.85
5,4.94,5.13,5107.8,41.64,4.42,80.356,3.8535,80.36,3.85
5.06,4.94,5.13,5080,41.35,4.44,80.35,3.8538,80.35,3.85
5.06,5,5.13,5051.6,41.06,4.46,80.35,3.8526,80.35,3.85
5.06,5,5.13,5026.2,40.81,4.46,80.35,3.8511,80.35,3.85
5.06,5,5.13,4996.9,40.51,4.46,80.36,3.8507,80.36,3.85
5.06,5.06,5.19,4968.9,40.22,4.5,80.35,3.8508,80.35,3.85
5.13,5.06,5.19,4961.1,40.14,4.53,80.35,3.8513,80.35,3.85
5.13,5.06,5.19,4962.2,40.15,4.53,80.35,3.8522,80.35,3.85
5.13,5.06,5.19,4961.3,40.14,4.53,80.36,3.8528,80.36,3.85
5.13,5.06,5.19,4963.7,40.17,4.53,80.35,3.8532,80.35,3.85
5.13,5.06,5.19,4962.2,40.15,4.53,80.36,3.8537,80.36,3.85
5.13,5.06,5.19,4961.1,40.14,4.53,80.35,3.8543,80.35,3.85
5.19,5.06,5.19,4961,40.14,4.55,80.356,3.8545,80.36,3.85
5.13,5.13,5.19,4964.2,40.17,4.55,80.35,3.8546,80.35,3.85
5.13,5.13,5.19,4962.2,40.15,4.55,80.35,3.8548,80.35,3.85
5.19,5.19,5.19,4962,40.15,4.59,80.35,3.855,80.35,3.86
5.19,5.19,5.25,4962.2,40.15,4.61,80.36,3.8548,80.36,3.85
5.25,5.19,5.31,4962.2,40.15,4.65,80.35,3.8546,80.35,3.85
5.25,5.25,5.31,4962.4,40.15,4.67,80.36,3.8546,80.36,3.85
5.25,5.25,5.31,4962.4,40.15,4.67,80.35,3.8545,80.35,3.85
5.25,5.31,5.31,4961.7,40.15,4.69,80.35,3.854,80.35,3.85
5.31,5.31,5.31,4961.9,40.15,4.71,80.36,3.8535,80.36,3.85
5.31,5.31,5.31,4962.8,40.16,4.71,80.35,3.853,80.35,3.85
5.25,5.31,5.31,4961.9,40.15,4.69,80.356,3.8529,80.36,3.85
5.31,5.31,5.31,4961.9,40.15,4.71,80.35,3.8527,80.35,3.85
5.31,5.31,5.31,4963.1,40.16,4.71,80.36,3.8526,80.36,3.85
5.31,5.31,5.31,4963.3,40.16,4.71,80.35,3.8517,80.35,3.85
5.31,5.31,5.38,4962.4,40.15,4.73,80.36,3.8507,80.36,3.85
5.38,5.38,5.38,4963.5,40.17,4.78,80.35,3.8503,80.35,3.85
5.38,5.31,5.38,4963.7,40.17,4.76,80.35,3.8505,80.35,3.85
5.38,5.38,5.38,4961.3,40.14,4.78,80.35,3.8502,80.35,3.85
5.38,5.38,5.38,4962.8,40.16,4.78,80.36,3.8498,80.36,3.85
5.38,5.38,5.38,4961.7,40.15,4.78,80.35,3.8495,80.35,3.85
5.38,5.38,5.38,4962.2,40.15,4.78,80.35,3.8495,80.35,3.85
5.31,5.38,5.38,4964.4,40.18,4.76,80.36,3.8495,80.36,3.85
5.38,5.38,5.38,4962.6,40.16,4.78,80.356,3.8498,80.36,3.85
5.38,5.38,5.38,4963.3,40.16,4.78,80.35,3.8498,80.35,3.85
5.38,5.38,5.38,4963.5,40.17,4.78,80.35,3.8498,80.35,3.85
5.38,5.38,5.38,4962.4,40.15,4.78,80.35,3.8498,80.35,3.85
5.38,5.44,5.38,4963.5,40.17,4.8,80.35,3.8498,80.35,3.85
5.38,5.44,5.38,4963.7,40.17,4.8,80.36,3.8498,80.36,3.85
5.38,5.44,5.38,4962.6,40.16,4.8,80.35,3.8502,80.35,3.85
5.38,5.44,5.38,4961.1,40.14,4.8,80.35,3.85,80.35,3.85
5.38,5.44,5.38,4963.3,40.16,4.8,80.35,3.851,80.35,3.85
5.38,5.44,5.38,4963.7,40.17,4.8,80.35,3.8513,80.35,3.85
5.38,5.44,5.38,4962.6,40.16,4.8,80.35,3.8517,80.35,3.85
5.38,5.44,5.38,4962.4,40.15,4.8,80.356,3.8531,80.36,3.85
5.38,5.44,5.38,4962.9,40.16,4.8,80.35,3.853,80.35,3.85
5.38,5.44,5.44,4962.9,40.16,4.82,80.35,3.854,80.35,3.85
5.38,5.44,5.38,4962.9,40.16,4.8,80.35,3.8551,80.35,3.86
5.38,5.44,5.38,4963.1,40.16,4.8,80.35,3.8554,80.35,3.86
5.44,5.44,5.38,4963.3,40.16,4.82,80.35,3.8548,80.35,3.85
5.44,5.44,5.38,4963.3,40.16,4.82,80.35,3.855,80.35,3.86
5.44,5.44,5.44,4963.3,40.16,4.84,80.341,3.8554,80.34,3.86
5.44,5.44,5.38,4962.7,40.16,4.82,80.35,3.8558,80.35,3.86
5.44,5.44,5.44,4965.6,40.19,4.84,80.35,3.8558,80.35,3.86
5.44,5.44,5.44,4964.6,40.18,4.84,80.35,3.8556,80.35,3.86
5.44,5.44,5.44,4962.7,40.16,4.84,80.35,3.8556,80.35,3.86
5.44,5.44,5.44,4962.7,40.16,4.84,80.346,3.8558,80.35,3.86
5.38,5.44,5.5,4962.7,40.16,4.84,80.35,3.8561,80.35,3.86
5.44,5.44,5.5,4964,40.17,4.86,80.341,3.8559,80.34,3.86
5.38,5.44,5.5,4952.1,40.05,4.84,80.35,3.8564,80.35,3.86
5.38,5.44,5.5,4924.4,39.77,4.84,80.35,3.8565,80.35,3.86
5.38,5.44,5.5,4898.1,39.5,4.84,80.35,3.8567,80.35,3.86
5.31,5.44,5.44,4870.6,39.22,4.8,80.35,3.8569,80.35,3.86
5.38,5.44,5.38,4840.1,38.91,4.8,80.341,3.8569,80.34,3.86
5.31,5.44,5.44,4813.7,38.64,4.8,80.35,3.8572,80.35,3.86
5.31,5.44,5.38,4787.6,38.37,4.78,80.35,3.858,80.35,3.86
5.38,5.44,5.38,4758.2,38.07,4.8,80.35,3.8583,80.35,3.86
5.38,5.44,5.38,4732.3,37.81,4.8,80.346,3.8583,80.35,3.86
5.38,5.44,5.38,4704.5,37.53,4.8,80.35,3.8584,80.35,3.86
5.38,5.44,5.38,4676.3,37.24,4.8,80.35,3.8586,80.35,3.86
5.38,5.44,5.38,4649.2,36.96,4.8,80.35,3.8584,80.35,3.86
5.38,5.44,5.44,4621.2,36.68,4.82,80.35,3.8581,80.35,3.86
5.44,5.5,5.5,4594,36.4,4.88,80.35,3.8583,80.35,3.86
5.44,5.5,5.5,4564.9,36.1,4.88,80.35,3.8583,80.35,3.86
5.5,5.56,5.5,4538.1,35.83,4.92,80.35,3.8581,80.35,3.86
5.5,5.56,5.56,4506.5,35.51,4.94,80.35,3.858,80.35,3.86
5.56,5.56,5.56,4479.3,35.23,4.96,80.35,3.8574,80.35,3.86
5.63,5.63,5.63,4465.5,35.09,5.03,80.35,3.857,80.35,3.86
5.69,5.63,5.69,4466.7,35.1,5.07,80.337,3.8575,80.34,3.86
5.75,5.75,5.75,4468,35.12,5.15,80.371,3.8581,80.37,3.86
5.81,5.75,5.81,4467,35.1,5.19,80.35,3.8581,80.35,3.86
5.88,5.81,5.88,4466.3,35.1,5.26,80.35,3.8584,80.35,3.86
5.88,5.88,5.94,4466.6,35.1,5.3,80.35,3.8577,80.35,3.86
5.94,5.94,6,4466.7,35.1,5.36,80.35,3.8562,80.35,3.86
6,6,6,4468.9,35.12,5.4,80.341,3.8556,80.34,3.86
6,6.06,6.06,4465.7,35.09,5.44,80.371,3.8548,80.37,3.85
6,6.06,6.06,4466.9,35.1,5.44,80.351,3.8546,80.35,3.85
6.06,6.06,6.06,4468,35.12,5.46,80.351,3.8546,80.35,3.85
6.06,6.06,6.13,4465.2,35.09,5.48,80.36,3.8545,80.36,3.85
6.06,6.13,6.06,4466.6,35.1,5.48,80.351,3.854,80.35,3.85
6.06,6.13,6.13,4466.9,35.1,5.51,80.356,3.8543,80.36,3.85
6.06,6.13,6.13,4467.1,35.11,5.51,80.351,3.8546,80.35,3.85
6.13,6.13,6.19,4466.2,35.1,5.55,80.36,3.8548,80.36,3.85
6.06,6.19,6.13,4466.3,35.1,5.53,80.351,3.8553,80.35,3.86
6.13,6.19,6.19,4467.6,35.11,5.57,80.36,3.8553,80.36,3.86
6.13,6.19,6.19,4466.2,35.1,5.57,80.351,3.8554,80.35,3.86
6.13,6.19,6.19,4465.7,35.09,5.57,80.36,3.8554,80.36,3.86
6.13,6.19,6.19,4469,35.13,5.57,80.351,3.8558,80.35,3.86
6.13,6.19,6.19,4467.9,35.11,5.57,80.36,3.8554,80.36,3.86
6.13,6.19,6.25,4465.9,35.09,5.59,80.351,3.8556,80.35,3.86
6.13,6.19,6.25,4467.1,35.11,5.59,80.36,3.855,80.36,3.86
6.19,6.25,6.25,4467.3,35.11,5.63,80.346,3.8546,80.35,3.85
6.19,6.19,6.25,4467.3,35.11,5.61,80.371,3.8545,80.37,3.85
6.19,6.25,6.25,4466.4,35.1,5.63,80.351,3.855,80.35,3.86
6.19,6.25,6.25,4465.3,35.09,5.63,80.36,3.8545,80.36,3.85
6.19,6.25,6.31,4468.8,35.12,5.65,80.36,3.8546,80.36,3.85
6.19,6.25,6.31,4467.4,35.11,5.65,80.36,3.854,80.36,3.85
6.19,6.25,6.31,4466.7,35.1,5.65,80.351,3.8532,80.35,3.85
6.19,6.31,6.31,4466.7,35.1,5.67,80.36,3.8531,80.36,3.85
