OpenCTD,,,,,,Commercial CTD,,,,
Raw Data,,,,Processed Data,,Raw Data,,Processed Data,,
Temp 1,Temp 2,Temp 3,Pressure,Depth (m),Temp C,Depth (m),Temp C,Depth (m),Temp C,
,,,,,,5.523,12.1481,5.52,12.15,
,,,,,,5.532,12.1483,5.53,12.15,
,,,,,,5.523,12.1483,5.52,12.15,
,,,,,,5.532,12.1481,5.53,12.15,
,,,,,,5.532,12.1476,5.53,12.15,
,,,,,,5.542,12.147,5.54,12.15,
,,,,,,5.563,12.147,5.56,12.15,
,,,,,,5.571,12.1471,5.57,12.15,
,,,,,,5.582,12.1475,5.58,12.15,
,,,,,,5.602,12.1476,5.6,12.15,
,,,,,,5.623,12.1466,5.62,12.15,
,,,,,,5.633,12.1456,5.63,12.15,
,,,,,,5.673,12.1446,5.67,12.14,
,,,,,,5.663,12.1441,5.66,12.14,
,,,,,,5.693,12.1433,5.69,12.14,
,,,,,,5.693,12.1423,5.69,12.14,
,,,,,,5.69,12.1408,5.69,12.14,
,,,,,,5.703,12.1386,5.7,12.14,
,,,,,,5.723,12.1363,5.72,12.14,
,,,,,,5.733,12.1345,5.73,12.13,
,,,,,,5.733,12.1328,5.73,12.13,
,,,,,,5.763,12.1319,5.76,12.13,
,,,,,,5.784,12.1312,5.78,12.13,
,,,,,,5.791,12.1307,5.79,12.13,
,,,,,,5.824,12.1298,5.82,12.13,
,,,,,,5.833,12.1289,5.83,12.13,
,,,,,,5.854,12.1278,5.85,12.13,
,,,,,,5.854,12.1268,5.85,12.13,
,,,,,,5.864,12.1254,5.86,12.13,
,,,,,,5.864,12.1245,5.86,12.12,
,,,,,,5.882,12.1231,5.88,12.12,
,,,,,,5.884,12.1224,5.88,12.12,
,,,,,,5.904,12.1212,5.9,12.12,
,,,,,,5.904,12.1206,5.9,12.12,
,,,,,,5.915,12.1199,5.92,12.12,
,,,,,,5.934,12.1194,5.93,12.12,
,,,,,,5.945,12.1191,5.95,12.12,
,,,,,,5.963,12.1193,5.96,12.12,
,,,,,,5.985,12.1196,5.99,12.12,
,,,,,,5.985,12.1197,5.99,12.12,
,,,,,,5.985,12.1197,5.99,12.12,
,,,,,,5.994,12.1197,5.99,12.12,
,,,,,,6.004,12.1191,6,12.12,
,,,,,,6.012,12.1187,6.01,12.12,
,,,,,,6.015,12.1186,6.02,12.12,
,,,,,,6.025,12.1182,6.03,12.12,
,,,,,,6.034,12.1184,6.03,12.12,
,,,,,,6.045,12.1184,6.05,12.12,
,,,,,,6.055,12.1186,6.06,12.12,
,,,,,,6.063,12.1183,6.06,12.12,
,,,,,,6.085,12.1186,6.09,12.12,
,,,,,,6.085,12.1182,6.09,12.12,
,,,,,,6.085,12.1174,6.09,12.12,
,,,,,,6.106,12.1166,6.11,12.12,
,,,,,,6.112,12.1159,6.11,12.12,
,,,,,,6.106,12.1146,6.11,12.11,
,,,,,,6.125,12.1139,6.13,12.11,
,,,,,,6.125,12.1132,6.13,12.11,
,,,,,,6.134,12.1124,6.13,12.11,
,,,,,,6.145,12.1115,6.15,12.11,
,,,,,,6.152,12.1105,6.15,12.11,
,,,,,,6.165,12.1097,6.17,12.11,
,,,,,,6.185,12.1093,6.19,12.11,
,,,,,,6.195,12.1097,6.2,12.11,
,,,,,,6.195,12.1099,6.2,12.11,
,,,,,,6.213,12.1105,6.21,12.11,
,,,,,,6.216,12.1107,6.22,12.11,
,,,,,,6.225,12.1114,6.23,12.11,
,,,,,,6.225,12.1114,6.23,12.11,
,,,,,,6.246,12.1116,6.25,12.11,
,,,,,,6.255,12.111,6.26,12.11,
,,,,,,6.264,12.111,6.26,12.11,
,,,,,,6.265,12.1103,6.27,12.11,
,,,,,,6.276,12.1097,6.28,12.11,
,,,,,,6.295,12.1086,6.3,12.11,
,,,,,,6.306,12.1073,6.31,12.11,
,,,,,,6.313,12.106,6.31,12.11,
,,,,,,6.326,12.1047,6.33,12.1,
,,,,,,6.346,12.1043,6.35,12.1,
,,,,,,6.346,12.1033,6.35,12.1,
,,,,,,6.356,12.1023,6.36,12.1,
,,,,,,6.364,12.1014,6.36,12.1,
,,,,,,6.386,12.1005,6.39,12.1,
,,,,,,6.386,12.0996,6.39,12.1,
,,,,,,6.396,12.0991,6.4,12.1,
,,,,,,6.414,12.0983,6.41,12.1,
,,,,,,6.416,12.0983,6.42,12.1,
,,,,,,6.426,12.0982,6.43,12.1,
,,,,,,6.437,12.0984,6.44,12.1,
,,,,,,6.456,12.0981,6.46,12.1,
,,,,,,6.464,12.0981,6.46,12.1,
,,,,,,6.477,12.0981,6.48,12.1,
,,,,,,6.486,12.0979,6.49,12.1,
,,,,,,6.486,12.0974,6.49,12.1,
,,,,,,6.497,12.0966,6.5,12.1,
,,,,,,6.514,12.0961,6.51,12.1,
,,,,,,6.517,12.0958,6.52,12.1,
,,,,,,6.526,12.0945,6.53,12.09,
,,,,,,6.537,12.0932,6.54,12.09,
,,,,,,6.544,12.0927,6.54,12.09,
,,,,,,6.557,12.0922,6.56,12.09,
,,,,,,6.568,12.0919,6.57,12.09,
,,,,,,6.587,12.0912,6.59,12.09,
,,,,,,6.584,12.0902,6.58,12.09,
,,,,,,6.607,12.089,6.61,12.09,
,,,,,,6.607,12.0875,6.61,12.09,
,,,,,,6.607,12.0864,6.61,12.09,
,,,,,,6.628,12.0858,6.63,12.09,
,,,,,,6.635,12.0852,6.64,12.09,
,,,,,,6.638,12.0848,6.64,12.08,
,,,,,,6.647,12.0852,6.65,12.09,
,,,,,,6.658,12.086,6.66,12.09,
,,,,,,6.665,12.0872,6.67,12.09,
,,,,,,6.678,12.0879,6.68,12.09,
,,,,,,6.687,12.0875,6.69,12.09,
,,,,,,6.687,12.0867,6.69,12.09,
,,,,,,6.705,12.0862,6.71,12.09,
,,,,,,6.717,12.0855,6.72,12.09,
,,,,,,6.717,12.0847,6.72,12.08,
,,,,,,6.717,12.0839,6.72,12.08,
,,,,,,6.735,12.0823,6.74,12.08,
,,,,,,6.738,12.0805,6.74,12.08,
,,,,,,6.748,12.0778,6.75,12.08,
,,,,,,6.759,12.0747,6.76,12.07,
,,,,,,6.775,12.0719,6.78,12.07,
,,,,,,6.768,12.0696,6.77,12.07,
,,,,,,6.789,12.0677,6.79,12.07,
,,,,,,6.799,12.0662,6.8,12.07,
,,,,,,6.805,12.0646,6.81,12.06,
,,,,,,6.829,12.0631,6.83,12.06,
,,,,,,6.829,12.0614,6.83,12.06,
,,,,,,6.829,12.0607,6.83,12.06,
,,,,,,6.866,12.0602,6.87,12.06,
,,,,,,6.848,12.0597,6.85,12.06,
,,,,,,6.859,12.06,6.86,12.06,
,,,,,,6.876,12.0614,6.88,12.06,
,,,,,,6.889,12.0624,6.89,12.06,
,,,,,,6.889,12.0632,6.89,12.06,
,,,,,,6.909,12.0625,6.91,12.06,
,,,,,,6.915,12.0607,6.92,12.06,
,,,,,,6.92,12.0572,6.92,12.06,
,,,,,,6.939,12.053,6.94,12.05,
,,,,,,6.939,12.0481,6.94,12.05,
,,,,,,6.957,12.0439,6.96,12.04,
,,,,,,6.959,12.0406,6.96,12.04,
,,,,,,6.979,12.0406,6.98,12.04,
,,,,,,6.976,12.0423,6.98,12.04,
,,,,,,6.99,12.0428,6.99,12.04,
,,,,,,6.999,12.0416,7,12.04,
,,,,,,7.009,12.0396,7.01,12.04,
,,,,,,7.016,12.0377,7.02,12.04,
,,,,,,7.03,12.0353,7.03,12.04,
,,,,,,7.039,12.0342,7.04,12.03,
,,,,,,7.046,12.0331,7.05,12.03,
,,,,,,7.06,12.0314,7.06,12.03,
,,,,,,7.06,12.0289,7.06,12.03,
,,,,,,7.08,12.0255,7.08,12.03,
,,,,,,7.087,12.021,7.09,12.02,
,,,,,,7.09,12.0158,7.09,12.02,
,,,,,,7.09,12.0106,7.09,12.01,
,,,,,,7.107,12.0053,7.11,12.01,
,,,,,,7.109,11.9999,7.11,12,
,,,,,,7.12,11.994,7.12,11.99,
,,,,,,7.13,11.9887,7.13,11.99,
,,,,,,7.137,11.9833,7.14,11.98,
,,,,,,7.14,11.978,7.14,11.98,
,,,,,,7.151,11.9758,7.15,11.98,
,,,,,,7.167,11.977,7.17,11.98,
,,,,,,7.16,11.9777,7.16,11.98,
,,,,,,7.181,11.9763,7.18,11.98,
,,,,,,7.188,11.9711,7.19,11.97,
,,,,,,7.19,11.9658,7.19,11.97,
,,,,,,7.19,11.9606,7.19,11.96,
,,,,,,7.207,11.9557,7.21,11.96,
,,,,,,7.2,11.9517,7.2,11.95,
,,,,,,7.221,11.9482,7.22,11.95,
,,,,,,7.23,11.9444,7.23,11.94,
,,,,,,7.228,11.9404,7.23,11.94,
,,,,,,7.24,11.935,7.24,11.94,
,,,,,,7.251,11.9273,7.25,11.93,
,,,,,,7.247,11.917,7.25,11.92,
,,,,,,7.27,11.9043,7.27,11.9,
,,,,,,7.26,11.8907,7.26,11.89,
,,,,,,7.277,11.8768,7.28,11.88,
,,,,,,7.281,11.8642,7.28,11.86,
,,,,,,7.291,11.853,7.29,11.85,
,,,,,,7.298,11.8432,7.3,11.84,
,,,,,,7.3,11.8353,7.3,11.84,
,,,,,,7.321,11.8286,7.32,11.83,
,,,,,,7.318,11.8231,7.32,11.82,
,,,,,,7.331,11.8183,7.33,11.82,
,,,,,,7.342,11.8141,7.34,11.81,
,,,,,,7.342,11.8099,7.34,11.81,
,,,,,,7.358,11.8054,7.36,11.81,
,,,,,,7.372,11.8007,7.37,11.8,
,,,,,,7.372,11.7958,7.37,11.8,
,,,,,,7.388,11.7908,7.39,11.79,
,,,,,,7.391,11.786,7.39,11.79,
,,,,,,7.401,11.7814,7.4,11.78,
,,,,,,7.408,11.7766,7.41,11.78,
,,,,,,7.412,11.7726,7.41,11.77,
,,,,,,7.431,11.7679,7.43,11.77,
,,,,,,7.438,11.7625,7.44,11.76,
,,,,,,7.452,11.7564,7.45,11.76,
,,,,,,7.452,11.7496,7.45,11.75,
,,,,,,7.468,11.7422,7.47,11.74,
,,,,,,7.482,11.734,7.48,11.73,
,,,,,,7.491,11.7258,7.49,11.73,
,,,,,,7.489,11.7194,7.49,11.72,
,,,,,,7.512,11.7142,7.51,11.71,
,,,,,,7.502,11.7095,7.5,11.71,
,,,,,,7.538,11.7051,7.54,11.71,
,,,,,,7.531,11.6974,7.53,11.7,
,,,,,,7.549,11.6893,7.55,11.69,
,,,,,,7.542,11.682,7.54,11.68,
,,,,,,7.562,11.6754,7.56,11.68,
,,,,,,7.568,11.6695,7.57,11.67,
,,,,,,7.573,11.664,7.57,11.66,
,,,,,,7.592,11.6591,7.59,11.66,
,,,,,,7.599,11.6553,7.6,11.66,
,,,,,,7.603,11.6526,7.6,11.65,
,,,,,,7.612,11.6507,7.61,11.65,
,,,,,,7.629,11.6491,7.63,11.65,
,,,,,,7.622,11.6478,7.62,11.65,
,,,,,,7.643,11.6461,7.64,11.65,
,,,,,,7.639,11.6443,7.64,11.64,
,,,,,,7.663,11.6427,7.66,11.64,
,,,,,,7.663,11.6409,7.66,11.64,
,,,,,,7.669,11.6387,7.67,11.64,
,,,,,,7.673,11.6363,7.67,11.64,
,,,,,,7.68,11.6335,7.68,11.63,
,,,,,,7.692,11.63,7.69,11.63,
,,,,,,7.703,11.6265,7.7,11.63,
,,,,,,7.71,11.6223,7.71,11.62,
,,,,,,7.703,11.618,7.7,11.62,
,,,,,,7.722,11.6134,7.72,11.61,
,,,,,,7.729,11.6085,7.73,11.61,
,,,,,,7.733,11.6029,7.73,11.6,
,,,,,,7.739,11.5973,7.74,11.6,
,,,,,,7.743,11.5909,7.74,11.59,
,,,,,,7.753,11.585,7.75,11.59,
,,,,,,7.76,11.5782,7.76,11.58,
,,,,,,7.764,11.5717,7.76,11.57,
,,,,,,7.773,11.5657,7.77,11.57,
,,,,,,7.78,11.5601,7.78,11.56,
,,,,,,7.783,11.5541,7.78,11.55,
,,,,,,7.794,11.5485,7.79,11.55,
,,,,,,7.79,11.5428,7.79,11.54,
,,,,,,7.813,11.5369,7.81,11.54,
,,,,,,7.81,11.5313,7.81,11.53,
,,,,,,7.813,11.5259,7.81,11.53,
,,,,,,7.834,11.5214,7.83,11.52,
,,,,,,7.83,11.5172,7.83,11.52,
,,,,,,7.834,11.5132,7.83,11.51,
,,,,,,7.839,11.51,7.84,11.51,
,,,,,,7.853,11.5065,7.85,11.51,
,,,,,,7.864,11.5035,7.86,11.5,
,,,,,,7.86,11.4999,7.86,11.5,
,,,,,,7.874,11.496,7.87,11.5,
,,,,,,7.883,11.4922,7.88,11.49,
,,,,,,7.89,11.4882,7.89,11.49,
,,,,,,7.894,11.4833,7.89,11.48,
,,,,,,7.9,11.4785,7.9,11.48,
,,,,,,7.914,11.4729,7.91,11.47,
,,,,,,7.914,11.4673,7.91,11.47,
,,,,,,7.93,11.462,7.93,11.46,
,,,,,,7.925,11.4563,7.93,11.46,
,,,,,,7.941,11.4505,7.94,11.45,
,,,,,,7.955,11.4444,7.96,11.44,
,,,,,,7.955,11.438,7.96,11.44,
,,,,,,7.96,11.4311,7.96,11.43,
,,,,,,7.974,11.4243,7.97,11.42,
,,,,,,7.981,11.4175,7.98,11.42,
,,,,,,7.984,11.4101,7.98,11.41,
,,,,,,7.995,11.403,8,11.4,
,,,,,,8,11.3958,8,11.4,
,,,,,,8.014,11.3876,8.01,11.39,
,,,,,,8.011,11.3793,8.01,11.38,
,,,,,,8.035,11.3707,8.04,11.37,
,,,,,,8.035,11.3622,8.04,11.36,
,,,,,,8.041,11.3541,8.04,11.35,
,,,,,,8.035,11.347,8.04,11.35,
,,,,,,8.081,11.3409,8.08,11.34,
,,,,,,8.055,11.3351,8.06,11.34,
,,,,,,8.074,11.3299,8.07,11.33,
,,,,,,8.081,11.324,8.08,11.32,
,,,,,,8.095,11.3175,8.1,11.32,
,,,,,,8.091,11.3103,8.09,11.31,
,,,,,,8.114,11.3025,8.11,11.3,
,,,,,,8.105,11.294,8.11,11.29,
,,,,,,8.121,11.2855,8.12,11.29,
,,,,,,8.125,11.277,8.13,11.28,
,,,,,,8.131,11.2683,8.13,11.27,
,,,,,,8.135,11.2588,8.14,11.26,
,,,,,,8.152,11.2499,8.15,11.25,
,,,,,,8.156,11.2411,8.16,11.24,
,,,,,,8.165,11.2333,8.17,11.23,
,,,,,,8.172,11.2266,8.17,11.23,
,,,,,,8.175,11.2209,8.18,11.22,
,,,,,,8.172,11.2163,8.17,11.22,
,,,,,,8.186,11.2122,8.19,11.21,
,,,,,,8.196,11.2087,8.2,11.21,
,,,,,,8.201,11.2056,8.2,11.21,
,,,,,,8.216,11.2018,8.22,11.2,
,,,,,,8.212,11.198,8.21,11.2,
,,,,,,8.216,11.1931,8.22,11.19,
,,,,,,8.222,11.1878,8.22,11.19,
,,,,,,8.235,11.1818,8.24,11.18,
,,,,,,8.235,11.1751,8.24,11.18,
,,,,,,8.242,11.1688,8.24,11.17,
,,,,,,8.246,11.162,8.25,11.16,
,,,,,,8.262,11.1555,8.26,11.16,
,,,,,,8.256,11.1498,8.26,11.15,
,,,,,,8.273,11.1456,8.27,11.15,
,,,,,,8.275,11.142,8.28,11.14,
,,,,,,8.275,11.1394,8.28,11.14,
,,,,,,8.282,11.1373,8.28,11.14,
,,,,,,8.286,11.135,8.29,11.14,
,,,,,,8.303,11.1334,8.3,11.13,
,,,,,,8.296,11.1315,8.3,11.13,
,,,,,,8.312,11.1305,8.31,11.13,
,,,,,,8.306,11.1297,8.31,11.13,
,,,,,,8.322,11.1289,8.32,11.13,
,,,,,,8.326,11.1284,8.33,11.13,
,,,,,,8.336,11.128,8.34,11.13,
,,,,,,8.343,11.1274,8.34,11.13,
,,,,,,8.336,11.1269,8.34,11.13,
,,,,,,8.352,11.1269,8.35,11.13,
,,,,,,8.366,11.1266,8.37,11.13,
,,,,,,8.362,11.1262,8.36,11.13,
,,,,,,8.377,11.1267,8.38,11.13,
,,,,,,8.373,11.1267,8.37,11.13,
,,,,,,8.387,11.1251,8.39,11.13,
,,,,,,8.387,11.122,8.39,11.12,
,,,,,,8.403,11.1192,8.4,11.12,
,,,,,,8.407,11.1156,8.41,11.12,
,,,,,,8.413,11.1122,8.41,11.11,
,,,,,,8.417,11.1088,8.42,11.11,
,,,,,,8.433,11.1062,8.43,11.11,
,,,,,,8.436,11.1038,8.44,11.1,
,,,,,,8.443,11.1013,8.44,11.1,
,,,,,,8.457,11.0995,8.46,11.1,
,,,,,,8.457,11.098,8.46,11.1,
,,,,,,8.462,11.0973,8.46,11.1,
,,,,,,8.477,11.0967,8.48,11.1,
,,,,,,8.483,11.0963,8.48,11.1,
,,,,,,8.487,11.0955,8.49,11.1,
,,,,,,8.504,11.0947,8.5,11.09,
,,,,,,8.508,11.0942,8.51,11.09,
,,,,,,8.513,11.0933,8.51,11.09,
,,,,,,8.517,11.0923,8.52,11.09,
,,,,,,8.534,11.0915,8.53,11.09,
,,,,,,8.527,11.0913,8.53,11.09,
,,,,,,8.543,11.0913,8.54,11.09,
,,,,,,8.557,11.0923,8.56,11.09,
,,,,,,8.557,11.0948,8.56,11.09,
,,,,,,8.563,11.0965,8.56,11.1,
,,,,,,8.567,11.0963,8.57,11.1,
,,,,,,8.583,11.096,8.58,11.1,
,,,,,,8.587,11.0957,8.59,11.1,
,,,,,,8.583,11.0958,8.58,11.1,
,,,,,,8.597,11.0961,8.6,11.1,
,,,,,,8.614,11.0967,8.61,11.1,
,,,,,,8.608,11.0963,8.61,11.1,
,,,,,,8.623,11.096,8.62,11.1,
,,,,,,8.627,11.0957,8.63,11.1,
,,,,,,8.634,11.0955,8.63,11.1,
,,,,,,8.627,11.0951,8.63,11.1,
,,,,,,8.644,11.095,8.64,11.1,
,,,,,,8.648,11.0951,8.65,11.1,
,,,,,,8.653,11.095,8.65,11.1,
,,,,,,8.669,11.0951,8.67,11.1,
,,,,,,8.664,11.0951,8.66,11.1,
,,,,,,8.669,11.0951,8.67,11.1,
,,,,,,8.678,11.0955,8.68,11.1,
,,,,,,8.684,11.0953,8.68,11.1,
,,,,,,8.678,11.0958,8.68,11.1,
,,,,,,8.693,11.096,8.69,11.1,
,,,,,,8.699,11.096,8.7,11.1,
,,,,,,8.693,11.0957,8.69,11.1,
,,,,,,8.708,11.0957,8.71,11.1,
,,,,,,8.714,11.0951,8.71,11.1,
,,,,,,8.718,11.0945,8.72,11.09,
,,,,,,8.724,11.0941,8.72,11.09,
,,,,,,8.718,11.0942,8.72,11.09,
,,,,,,8.735,11.0936,8.74,11.09,
,,,,,,8.739,11.0926,8.74,11.09,
,,,,,,8.744,11.0915,8.74,11.09,
,,,,,,8.748,11.0913,8.75,11.09,
,,,,,,8.754,11.0917,8.75,11.09,
,,,,,,8.758,11.0922,8.76,11.09,
,,,,,,8.765,11.0922,8.77,11.09,
,,,,,,8.769,11.0915,8.77,11.09,
,,,,,,8.774,11.0907,8.77,11.09,
,,,,,,8.779,11.09,8.78,11.09,
,,,,,,8.795,11.0896,8.8,11.09,
,,,,,,8.788,11.0895,8.79,11.09,
,,,,,,8.805,11.0896,8.81,11.09,
,,,,,,8.799,11.0888,8.8,11.09,
,,,,,,8.814,11.0878,8.81,11.09,
,,,,,,8.818,11.0865,8.82,11.09,
,,,,,,8.824,11.0847,8.82,11.08,
,,,,,,8.829,11.0824,8.83,11.08,
,,,,,,8.835,11.08,8.84,11.08,
,,,,,,8.839,11.0768,8.84,11.08,
,,,,,,8.854,11.0734,8.85,11.07,
,,,,,,8.849,11.0716,8.85,11.07,
,,,,,,8.865,11.0704,8.87,11.07,
,,,,,,8.869,11.0684,8.87,11.07,
,,,,,,8.884,11.0658,8.88,11.07,
,,,,,,8.879,11.0626,8.88,11.06,
,,,,,,8.884,11.0594,8.88,11.06,
,,,,,,8.9,11.0571,8.9,11.06,
,,,,,,8.895,11.0556,8.9,11.06,
,,,,,,8.909,11.0546,8.91,11.05,
,,,,,,8.915,11.054,8.92,11.05,
,,,,,,8.919,11.0532,8.92,11.05,
,,,,,,8.926,11.0524,8.93,11.05,
,,,,,,8.939,11.0516,8.94,11.05,
,,,,,,8.935,11.053,8.94,11.05,
,,,,,,8.949,11.0557,8.95,11.06,
,,,,,,8.945,11.0583,8.95,11.06,
,,,,,,8.96,11.0605,8.96,11.06,
,,,,,,8.966,11.0626,8.97,11.06,
,,,,,,8.97,11.0648,8.97,11.06,
,,,,,,8.975,11.0668,8.98,11.07,
,,,,,,8.99,11.0688,8.99,11.07,
,,,,,,8.985,11.0698,8.99,11.07,
,,,,,,9,11.0704,9,11.07,
,,,,,,8.996,11.0704,9,11.07,
,,,,,,9.01,11.0698,9.01,11.07,
,,,,,,9.005,11.0691,9.01,11.07,
,,,,,,9.021,11.0686,9.02,11.07,
,,,,,,9.026,11.0681,9.03,11.07,
,,,,,,9.026,11.0672,9.03,11.07,
,,,,,,9.04,11.0666,9.04,11.07,
,,,,,,9.036,11.0659,9.04,11.07,
,,,,,,9.049,11.0649,9.05,11.06,
,,,,,,9.056,11.0639,9.06,11.06,
,,,,,,9.049,11.0633,9.05,11.06,
,,,,,,9.066,11.062,9.07,11.06,
,,,,,,9.07,11.0596,9.07,11.06,
,,,,,,9.076,11.0577,9.08,11.06,
,,,,,,9.08,11.0554,9.08,11.06,
,,,,,,9.085,11.0538,9.09,11.05,
,,,,,,9.091,11.0531,9.09,11.05,
,,,,,,9.096,11.0532,9.1,11.05,
,,,,,,9.1,11.0527,9.1,11.05,
,,,,,,9.106,11.0514,9.11,11.05,
,,,,,,9.121,11.0501,9.12,11.05,
,,,,,,9.115,11.0493,9.12,11.05,
,,,,,,9.126,11.0482,9.13,11.05,
,,,,,,9.121,11.0471,9.12,11.05,
,,,,,,9.136,11.0461,9.14,11.05,
,,,,,,9.14,11.0454,9.14,11.05,
,,,,,,9.146,11.0447,9.15,11.04,
,,,,,,9.151,11.0441,9.15,11.04,
,,,,,,9.157,11.0441,9.16,11.04,
,,,,,,9.161,11.0449,9.16,11.04,
,,,,,,9.166,11.0452,9.17,11.05,
,,,,,,9.17,11.0457,9.17,11.05,
,,,,,,9.176,11.0457,9.18,11.05,
,,,,,,9.181,11.0454,9.18,11.05,
,,,,,,9.197,11.0454,9.2,11.05,
,,,,,,9.17,11.0459,9.17,11.05,
,,,,,,9.206,11.0462,9.21,11.05,
,,,,,,9.206,11.0462,9.21,11.05,
,,,,,,9.21,11.0454,9.21,11.05,
,,,,,,9.206,11.0446,9.21,11.04,
,,,,,,9.221,11.0436,9.22,11.04,
,,,,,,9.227,11.0435,9.23,11.04,
,,,,,,9.231,11.0439,9.23,11.04,
,,,,,,9.227,11.0443,9.23,11.04,
,,,,,,9.241,11.0441,9.24,11.04,
,,,,,,9.236,11.044,9.24,11.04,
,,,,,,9.241,11.0439,9.24,11.04,
,,,,,,9.267,11.0429,9.27,11.04,
,,,,,,9.257,11.0419,9.26,11.04,
,,,,,,9.271,11.0415,9.27,11.04,
,,,,,,9.267,11.0404,9.27,11.04,
,,,,,,9.271,11.0392,9.27,11.04,
,,,,,,9.287,11.0381,9.29,11.04,
,,,,,,9.292,11.0371,9.29,11.04,
,,,,,,9.287,11.0356,9.29,11.04,
,,,,,,9.301,11.0342,9.3,11.03,
,,,,,,9.307,11.0334,9.31,11.03,
,,,,,,9.307,11.0324,9.31,11.03,
,,,,,,9.322,11.0316,9.32,11.03,
,,,,,,9.318,11.0309,9.32,11.03,
,,,,,,9.331,11.0302,9.33,11.03,
,,,,,,9.337,11.0301,9.34,11.03,
,,,,,,9.331,11.0292,9.33,11.03,
,,,,,,9.347,11.0291,9.35,11.03,
,,,,,,9.352,11.0288,9.35,11.03,
,,,,,,9.347,11.0284,9.35,11.03,
,,,,,,9.367,11.0284,9.37,11.03,
,,,,,,9.371,11.0286,9.37,11.03,
,,,,,,9.377,11.0282,9.38,11.03,
,,,,,,9.371,11.028,9.37,11.03,
,,,,,,9.388,11.0277,9.39,11.03,
,,,,,,9.392,11.0271,9.39,11.03,
,,,,,,9.397,11.0269,9.4,11.03,
,,,,,,9.407,11.0259,9.41,11.03,
,,,,,,9.402,11.0256,9.4,11.03,
,,,,,,9.418,11.0251,9.42,11.03,
,,,,,,9.422,11.0245,9.42,11.02,
,,,,,,9.418,11.0241,9.42,11.02,
,,,,,,9.432,11.0237,9.43,11.02,
,,,,,,9.437,11.0232,9.44,11.02,
,,,,,,9.448,11.0233,9.45,11.02,
,,,,,,9.443,11.0231,9.44,11.02,
,,,,,,9.458,11.0234,9.46,11.02,
,,,,,,9.462,11.0237,9.46,11.02,
,,,,,,9.468,11.0241,9.47,11.02,
,,,,,,9.462,11.0242,9.46,11.02,
,,,,,,9.488,11.024,9.49,11.02,
,,,,,,9.477,11.0237,9.48,11.02,
,,,,,,9.492,11.0234,9.49,11.02,
,,,,,,9.488,11.0229,9.49,11.02,
,,,,,,9.503,11.0226,9.5,11.02,
,,,,,,9.507,11.022,9.51,11.02,
,,,,,,9.503,11.0217,9.5,11.02,
,,,,,,9.518,11.0207,9.52,11.02,
,,,,,,9.518,11.0203,9.52,11.02,
,,,,,,9.523,11.0192,9.52,11.02,
,,,,,,9.538,11.0186,9.54,11.02,
,,,,,,9.523,11.0179,9.52,11.02,
,,,,,,9.538,11.0177,9.54,11.02,
,,,,,,9.549,11.0176,9.55,11.02,
,,,,,,9.543,11.0178,9.54,11.02,
,,,,,,9.549,11.0179,9.55,11.02,
,,,,,,9.562,11.0179,9.56,11.02,
,,,,,,9.549,11.0178,9.55,11.02,
,,,,,,9.562,11.018,9.56,11.02,
,,,,,,9.568,11.0187,9.57,11.02,
,,,,,,9.568,11.0197,9.57,11.02,
,,,,,,9.573,11.0201,9.57,11.02,
,,,,,,9.568,11.0206,9.57,11.02,
,,,,,,9.583,11.0206,9.58,11.02,
,,,,,,9.579,11.0211,9.58,11.02,
,,,,,,9.589,11.0211,9.59,11.02,
,,,,,,9.583,11.0216,9.58,11.02,
,,,,,,9.589,11.022,9.59,11.02,
,,,,,,9.593,11.0226,9.59,11.02,
,,,,,,9.598,11.0231,9.6,11.02,
,,,,,,9.593,11.0234,9.59,11.02,
,,,,,,9.598,11.0241,9.6,11.02,
,,,,,,9.608,11.0242,9.61,11.02,
,,,,,,9.604,11.0244,9.6,11.02,
,,,,,,9.608,11.0241,9.61,11.02,
,,,,,,9.604,11.0232,9.6,11.02,
,,,,,,9.619,11.0225,9.62,11.02,
,,,,,,9.619,11.0217,9.62,11.02,
,,,,,,9.613,11.0212,9.61,11.02,
,,,,,,9.628,11.0209,9.63,11.02,
,,,,,,9.634,11.0211,9.63,11.02,
,,,,,,9.628,11.0204,9.63,11.02,
,,,,,,9.638,11.0202,9.64,11.02,
,,,,,,9.644,11.0194,9.64,11.02,
,,,,,,9.638,11.0189,9.64,11.02,
,,,,,,9.653,11.0181,9.65,11.02,
,,,,,,9.649,11.0176,9.65,11.02,
,,,,,,9.659,11.0169,9.66,11.02,
,,,,,,9.674,11.0166,9.67,11.02,
,,,,,,9.668,11.0164,9.67,11.02,
,,,,,,9.683,11.0166,9.68,11.02,
,,,,,,9.679,11.0164,9.68,11.02,
,,,,,,9.689,11.0162,9.69,11.02,
,,,,,,9.704,11.016,9.7,11.02,
,,,,,,9.699,11.0164,9.7,11.02,
,,,,,,9.723,11.0166,9.72,11.02,
,,,,,,9.719,11.0168,9.72,11.02,
,,,,,,9.729,11.0167,9.73,11.02,
,,,,,,9.734,11.0166,9.73,11.02,
,,,,,,9.738,11.0166,9.74,11.02,
,,,,,,9.754,11.0166,9.75,11.02,
,,,,,,9.749,11.0162,9.75,11.02,
,,,,,,9.769,11.0167,9.77,11.02,
,,,,,,9.774,11.0167,9.77,11.02,
,,,,,,9.78,11.0167,9.78,11.02,
,,,,,,9.795,11.0166,9.8,11.02,
