OpenCTD,,,,,,Commercial CTD,,,,
Raw Data,,,,Processed Data,,Raw Data,,Processed Data,,
Temp 1,Temp 2,Temp 3,Pressure,Depth (m),Temp C,Depth (m),Temp C,Depth (m),Temp C,
13.81,13.38,14.5,1091.4,0.7,13.3,0.617,12.5002,0.62,12.5,
13.81,13.38,14.5,1088,0.66,13.3,0.63,12.5005,0.63,12.5,
13.81,13.38,14.5,1089.1,0.67,13.3,0.638,12.5002,0.64,12.5,
13.81,13.44,14.5,1091.3,0.69,13.32,0.639,12.5002,0.64,12.5,
13.81,13.44,14.5,1085.8,0.64,13.32,0.647,12.5002,0.65,12.5,
13.81,13.44,14.44,1084.7,0.63,13.3,0.649,12.4995,0.65,12.5,
13.81,13.38,14.5,1092.5,0.71,13.3,0.657,12.4999,0.66,12.5,
13.81,13.44,14.5,1086.9,0.65,13.32,0.66,12.5,0.66,12.5,
13.81,13.44,14.44,1089.1,0.67,13.3,0.657,12.5,0.66,12.5,
13.88,13.44,14.5,1092.5,0.71,13.34,0.669,12.5002,0.67,12.5,
13.88,13.44,14.5,1088,0.66,13.34,0.657,12.5002,0.66,12.5,
13.88,13.44,14.5,1089.1,0.67,13.34,0.66,12.4996,0.66,12.5,
13.88,13.44,14.5,1092.5,0.71,13.34,0.668,12.4996,0.67,12.5,
13.81,13.44,14.5,1082.5,0.6,13.32,0.66,12.4996,0.66,12.5,
13.88,13.44,14.5,1096.9,0.75,13.34,0.657,12.4995,0.66,12.5,
13.81,13.44,14.5,1080.2,0.58,13.32,0.66,12.4993,0.66,12.5,
13.75,13.44,14.44,1095.8,0.74,13.28,0.657,12.4993,0.66,12.5,
13.75,13.44,14.5,1093.6,0.72,13.3,0.66,12.4994,0.66,12.5,
13.75,13.44,14.44,1082.5,0.6,13.28,0.649,12.4993,0.65,12.5,
13.75,13.38,14.44,1093.6,0.72,13.26,0.647,12.5,0.65,12.5,
13.75,13.38,14.44,1092.5,0.71,13.26,0.649,12.4999,0.65,12.5,
13.81,13.38,14.38,1085.8,0.64,13.26,0.638,12.5,0.64,12.5,
13.75,13.44,14.44,1088,0.66,13.28,0.649,12.5022,0.65,12.5,
13.75,13.44,14.44,1094.7,0.73,13.28,0.638,12.5052,0.64,12.51,
13.75,13.44,14.44,1080.2,0.58,13.28,0.639,12.5055,0.64,12.51,
13.81,13.44,14.44,1092.5,0.71,13.3,0.638,12.5049,0.64,12.5,
13.75,13.44,14.44,1094.7,0.73,13.28,0.63,12.5027,0.63,12.5,
13.75,13.44,14.44,1079.1,0.57,13.28,0.627,12.5015,0.63,12.5,
13.81,13.44,14.44,1093.5,0.72,13.3,0.63,12.5016,0.63,12.5,
13.75,13.38,14.38,1089.1,0.67,13.24,0.617,12.5052,0.62,12.51,
13.75,13.38,14.38,1089.1,0.67,13.24,0.609,12.5086,0.61,12.51,
13.75,13.38,14.38,1090.2,0.68,13.24,0.617,12.5102,0.62,12.51,
13.75,13.38,14.38,1089.1,0.67,13.24,0.599,12.5112,0.6,12.51,
13.75,13.38,14.38,1090.2,0.68,13.24,0.608,12.5102,0.61,12.51,
13.75,13.44,14.44,1085.8,0.64,13.28,0.588,12.5095,0.59,12.51,
13.75,13.44,14.44,1091.3,0.69,13.28,0.598,12.5107,0.6,12.51,
13.81,13.44,14.44,1086.9,0.65,13.3,0.588,12.5113,0.59,12.51,
13.75,13.44,14.44,1089.1,0.67,13.28,0.588,12.5109,0.59,12.51,
13.75,13.44,14.44,1093.6,0.72,13.28,0.577,12.5106,0.58,12.51,
13.75,13.38,14.38,1083.6,0.62,13.24,0.588,12.5106,0.59,12.51,
13.75,13.38,14.38,1090.2,0.68,13.24,0.587,12.5093,0.59,12.51,
13.75,13.38,14.38,1093.5,0.72,13.24,0.579,12.5074,0.58,12.51,
13.75,13.31,14.38,1081.3,0.59,13.21,0.598,12.5071,0.6,12.51,
13.75,13.38,14.38,1093.6,0.72,13.24,0.579,12.5084,0.58,12.51,
13.75,13.38,14.38,1086.9,0.65,13.24,0.587,12.5097,0.59,12.51,
13.75,13.38,14.38,1090.2,0.68,13.24,0.588,12.5102,0.59,12.51,
13.69,13.38,14.38,1094.6,0.73,13.22,0.598,12.5104,0.6,12.51,
13.69,13.38,14.38,1092.4,0.71,13.22,0.599,12.5095,0.6,12.51,
13.69,13.38,14.38,1089.1,0.67,13.22,0.598,12.5082,0.6,12.51,
